# KFUK-KFUM Kulturskole

Official website: https://kulturforalle.no/

KFUK-KFUM Kulturskole offers music, visual art and creative activities for children and young people, primarily ages 8–19, in Oslo, Bærum, Asker, Bergen and Hamar.

Key pages:
- https://kulturforalle.no/piano
- https://kulturforalle.no/gitar
- https://kulturforalle.no/trommer
- https://kulturforalle.no/vokal
- https://kulturforalle.no/bass
- https://kulturforalle.no/musikkproduksjon
- https://kulturforalle.no/visuell-kunst
- https://kulturforalle.no/priser
- https://kulturforalle.no/stipend
- https://kulturforalle.no/oslo
- https://kulturforalle.no/baerum
- https://kulturforalle.no/asker
- https://kulturforalle.no/bergen
- https://kulturforalle.no/hamar

New music students can try two lessons before deciding whether to continue. The school also has a scholarship scheme for families who need support with tuition fees.
